ID_Provincia,CodProvincia,Provincia,CodCanton,Canton,CodDistrito,Distrito,CodBarrio,Barrio
70,1,San José,01,San José,06,SAN FRANCISCO DE DOS RÍOS,01,Ahogados (parte)
135,1,San José,01,San José,09,PAVAS,11,Lomas del Río
202,1,San José,02,Escazú,01,ESCAZÚ,07,Jaboncillo
269,1,San José,03,Desamparados,01,DESAMPARADOS,14,Fortuna
331,1,San José,03,Desamparados,04,SAN RAFAEL ARRIBA,08,Lajas
393,1,San José,03,Desamparados,12,GRAVILIAS,02,Claveles
460,1,San José,04,Puriscal,05,SAN RAFAEL,03,Punta de Lanza
527,1,San José,05,Tarrazú,02,SAN LORENZO,07,Bajo Zapotal
595,1,San José,06,Aserrí,04,SAN GABRIEL,05,Salitral
667,1,San José,08,Goicoechea,01,GUADALUPE,07,Magnolia
731,1,San José,08,Goicoechea,07,PURRAL,03,Cuadros
799,1,San José,10,Alajuelita,03,SAN ANTONIO,05,Lámparas.
856,1,San José,11,Vásquez de Coronado,04,PATALILLO,09,Trapiche
921,1,San José,12,Acosta,03,PALMICHAL,15,La Pita
990,1,San José,13,Tibás,03,ANSELMO LLORENTE,12,Vergel.
1057,1,San José,15,Montes de Oca,01,SAN PEDRO,15,Prados del Este
1120,1,San José,16,Turrubares,05,CARARA,09,Esperanza
1191,1,San José,18,Curridabat,01,CURRIDABAT,14,Miramontes
1246,1,San José,19,Pérez Zeledón,01,SAN ISIDRO DE EL GENERAL,36,Unesco
1297,1,San José,19,Pérez Zeledón,02,EL GENERAL,01,Arepa
1358,1,San José,19,Pérez Zeledón,04,RIVAS,16,La Bambú
1421,1,San José,19,Pérez Zeledón,07,PEJIBAYE,06,Barrionuevo
1487,1,San José,19,Pérez Zeledón,09,BARÚ,20,San Salvador
1548,1,San José,20,León Cortéz Castro,03,LLANO BONITO,04,San Francisco
1613,2,Alajuela,01,Alajuela,02,SAN JOSÉ,20,Flores.
1680,2,Alajuela,01,Alajuela,08,SAN RAFAEL,04,Ojo de Agua
1747,2,Alajuela,01,Alajuela,11,TURRÚCARES,12,Cerrillos (San Miguel)
1813,2,Alajuela,02,San Ramón,06,SAN RAFAEL,05,Calera
1880,2,Alajuela,02,San Ramón,13,PEÑAS BLANCAS,11,Pocosol
1951,2,Alajuela,03,Grecia,06,RÍO CUARTO,21,Pinar
2019,2,Alajuela,05,Atenas,02,JESÚS,07,Estanquillo
2089,2,Alajuela,06,Naranjo,04,CIRRÍ SUR,07,Llano Bonito
2157,2,Alajuela,08,Poás,03,SAN RAFAEL,07,Sitio (parte)
2226,2,Alajuela,10,San Carlos,01,QUESADA,13,Colina 1
2293,2,Alajuela,10,San Carlos,02,FLORENCIA,16,San Juan
2358,2,Alajuela,10,San Carlos,06,PITAL,03,San Cristóbal.
2426,2,Alajuela,10,San Carlos,09,LA PALMERA,02,Calle Damas
2494,2,Alajuela,10,San Carlos,11,CUTRIS,41,San Vito
2561,2,Alajuela,10,San Carlos,13,POCOSOL,41,San Cristobal
2629,2,Alajuela,13,Upala,01,UPALA,21,Verbena (parte).
2695,2,Alajuela,13,Upala,05,DELICIAS,02,La Cruz
2765,2,Alajuela,14,Los Chiles,01,LOS CHILES,29,Pueblo Nuevo
2830,2,Alajuela,15,Guatuso,02,BUENAVISTA,03,El Cruce
2902,3,Cartago,01,Cartago,04,SAN NICOLÁS,07,B Lima
2966,3,Cartago,01,Cartago,09,DULCE NOMBRE,06,Río Claro.
3040,3,Cartago,02,Paraíso,04,CACHÍ,06,Guatusito
3107,3,Cartago,04,Jiménez,02,TUCURRIQUE,02,Bajo Congo
3178,3,Cartago,05,Turrialba,02,LA SUIZA,11,Gaviotas
3244,3,Cartago,05,Turrialba,07,TUIS,04,Bajo Pacuare (norte)
3313,3,Cartago,06,Alvarado,01,PACAYAS,05,Charcalillos
3380,3,Cartago,08,El Guarco,01,EL TEJAR,10,Sauces
3448,4,Heredia,01,Heredia,02,MERCEDES,02,Carbonal
3517,4,Heredia,02,Barva,05,SANTA LUCÍA,06,Palmar (parte).
3579,4,Heredia,04,Santa Bárbara,05,SANTO DOMINGO,04,Giralda
3643,4,Heredia,06,San Isidro,04,SAN FRANCISCO,03,Quebradas (parte)
3711,4,Heredia,10,Sarapiquí,01,PUERTO VIEJO,08,Arbolitos (parte)
3777,4,Heredia,10,Sarapiquí,03,LAS HORQUETAS,02,Cerro Negro (parte)
3841,5,Guanacaste,01,Liberia,01,LIBERIA,08,Curime
3909,5,Guanacaste,01,Liberia,05,CURUBANDÉ,05,Porvenir.
3981,5,Guanacaste,02,Nicoya,02,MANSIÓN,17,Pueblo Viejo
4047,5,Guanacaste,02,Nicoya,05,SÁMARA,02,Mala Noche.
4114,5,Guanacaste,03,Santa Cruz,01,SANTA CRUZ,09,Garúa
4175,5,Guanacaste,03,Santa Cruz,03,VEINTISIETE DE ABRIL,21,Junquillal
4235,5,Guanacaste,03,Santa Cruz,06,CUAJINIQUIL,19,Quebrada Zapote
4301,5,Guanacaste,04,Bagaces,01,BAGACES,13,Mojica
4368,5,Guanacaste,05,Carrillo,03,SARDINAL,07,Chorrera
4440,5,Guanacaste,06,Cañas,01,CAÑAS,35,Pueblo Nuevo
4506,5,Guanacaste,07,Abangáres,01,LAS JUNTAS,31,San Juan Chiquito
4571,5,Guanacaste,08,Tilarán,04,SANTA ROSA,01,Aguilares
4636,5,Guanacaste,09,Nandayure,05,PORVENIR,07,San Josecito.
4705,5,Guanacaste,10,La Cruz,02,SANTA CECILIA,04,
4770,5,Guanacaste,11,Hojancha,03,PUERTO CARRILLO,04,Estrada
4836,6,Puntarenas,01,Puntarenas,04,LEPANTO,17,Chanchos
4902,6,Puntarenas,01,Puntarenas,05,PAQUERA,31,Río Seco
4968,6,Puntarenas,01,Puntarenas,11,CÓBANO,27,B Pita
5032,6,Puntarenas,02,Esparza,03,MACACONA,01,Marañonal (parte).
5095,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,24,Platanares
5096,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,25,Potrero Cerrado
5097,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,26,Puente de Salitre
5098,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,27,Río Azul
5099,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,28,Salitre
5100,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,29,San Carlos
5101,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,30,San Luis (Florida)
5102,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,31,San Miguel Este
5103,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,32,San Miguel Oeste
5104,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,33,San Vicente
5105,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,34,Santa Cruz
5106,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,35,Santa Eduvigis
5107,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,36,Santa Marta
5108,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,37,Sipar
5109,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,38,Ujarrás
5110,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,39,Villahermosa
5111,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,40,Yheri.
5112,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,01,Altamira
5113,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,02,Ángel Arriba
5114,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,03,Bajos del Río Grande
5115,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,04,Cacao
5116,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,05,Convento
5117,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,06,Cordoncillo
5118,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,07,Los Ángeles
5119,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,08,Longo Mai
5120,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,09,B Peje
5121,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,10,Quebradas
5122,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,11,Río Grande
5123,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,12,Sabanilla
5124,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,13,Sonador
5125,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,14,Tarise
5126,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,15,Tres Ríos
5127,6,Puntarenas,03,Buenos Aires,02,VOLCÁN,16,Ultrapez.
5128,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,01,Alto La Cruz.
5129,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,02,Alto Tigre
5130,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,03,Ángeles
5131,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,04,Boca Limón
5132,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,05,Brazos de Oro
5133,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,06,Cabagra (parte)
5134,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,07,Campo Alegre
5135,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,08,Capri
5136,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,09,Caracol
5137,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,10,Caracucho
5138,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,11,Clavera
5139,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,12,Colegallo
5140,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,13,Copal
5141,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,14,Coto Brus (parte)
5142,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,15,Cuesta Marañones
5143,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,16,Delicias
5033,6,Puntarenas,02,Esparza,03,MACACONA,02,Bruselas
5034,6,Puntarenas,02,Esparza,03,MACACONA,03,Guapinol
5035,6,Puntarenas,02,Esparza,03,MACACONA,04,Nances
5036,6,Puntarenas,02,Esparza,03,MACACONA,05,San Roque.
5037,6,Puntarenas,02,Esparza,04,SAN RAFAEL,01,Alto Corteza
5038,6,Puntarenas,02,Esparza,04,SAN RAFAEL,02,Barón
5039,6,Puntarenas,02,Esparza,04,SAN RAFAEL,03,Facio
5040,6,Puntarenas,02,Esparza,04,SAN RAFAEL,04,Llanada del Cacao
5041,6,Puntarenas,02,Esparza,04,SAN RAFAEL,05,Maratón.
5042,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,01,Cerrillos
5043,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,02,Mesetas Abajo
5044,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,03,Mesetas Arriba
5045,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,04,Peña Blanca
5046,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,05,Pretiles
5047,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,06,Quebradas
5048,6,Puntarenas,02,Esparza,05,SAN JERÓNIMO,07,Sabana Bonita.
5049,6,Puntarenas,02,Esparza,06,CALDERA,01,Alto de Las Mesas
5050,6,Puntarenas,02,Esparza,06,CALDERA,02,Artieda
5051,6,Puntarenas,02,Esparza,06,CALDERA,03,Caldera
5052,6,Puntarenas,02,Esparza,06,CALDERA,04,Cabezas
5053,6,Puntarenas,02,Esparza,06,CALDERA,05,Cambalache
5054,6,Puntarenas,02,Esparza,06,CALDERA,06,Cascabel
5055,6,Puntarenas,02,Esparza,06,CALDERA,07,Corralillo
5056,6,Puntarenas,02,Esparza,06,CALDERA,08,Cuesta Jocote
5057,6,Puntarenas,02,Esparza,06,CALDERA,09,Figueroa
5058,6,Puntarenas,02,Esparza,06,CALDERA,10,Finca Brazo Seco
5059,6,Puntarenas,02,Esparza,06,CALDERA,11,Finca Cortijo
5060,6,Puntarenas,02,Esparza,06,CALDERA,12,Guardianes de La Piedra
5061,6,Puntarenas,02,Esparza,06,CALDERA,13,Hacienda La Moncha
5062,6,Puntarenas,02,Esparza,06,CALDERA,14,Hacienda Mata de Guinea
5063,6,Puntarenas,02,Esparza,06,CALDERA,15,Hacienda Playa Linda
5064,6,Puntarenas,02,Esparza,06,CALDERA,16,Hacienda Salinas
5065,6,Puntarenas,02,Esparza,06,CALDERA,17,Jesús María
5066,6,Puntarenas,02,Esparza,06,CALDERA,18,Quebrada Honda
5067,6,Puntarenas,02,Esparza,06,CALDERA,19,Salinas
5068,6,Puntarenas,02,Esparza,06,CALDERA,20,San Antonio
5069,6,Puntarenas,02,Esparza,06,CALDERA,21,Silencio
5070,6,Puntarenas,02,Esparza,06,CALDERA,22,Tivives
5071,6,Puntarenas,02,Esparza,06,CALDERA,23,Villanueva.
5072,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,01,Alto Buenos Aires
5073,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,02,Lomas.
5074,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,03,Alto Alejo
5075,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,04,Alto Brisas
5076,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,05,Alto Calderón
5077,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,06,Bajo Brisas
5078,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,07,Bolas
5079,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,08,Brujo
5080,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,09,Cabagra (parte)
5081,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,10,Caracol
5082,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,11,Ceibo
5083,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,12,Colepato
5084,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,13,El Carmen
5085,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,14,Guanacaste
5086,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,15,Guadalupe
5087,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,16,López
5088,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,17,Los Altos
5089,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,18,Llano Verde
5090,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,19,Machomontes
5091,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,20,Palmital
5092,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,21,Paraíso (Ánimas)
5093,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,22,Paso Verbá
5094,6,Puntarenas,03,Buenos Aires,01,BUENOS AIRES,23,Piñera
5144,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,17,Garrote
5145,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,18,Guácimo
5146,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,19,Guaria
5147,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,20,Helechales
5148,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,21,Jabillo
5149,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,22,Jorón
5150,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,23,Juntas
5151,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,24,Lucha
5152,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,25,Maravilla
5153,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,26,Mesas
5154,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,27,Mirador
5155,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,28,Montelimar
5156,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,29,Mosca
5157,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,30,Palmira
5158,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,31,Paso Real
5159,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,32,B Peje
5160,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,33,B Pita
5161,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,34,Platanillal
5162,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,35,Quijada
5163,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,36,Río Coto
5164,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,37,San Antonio
5165,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,38,San Carlos
5166,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,39,San Rafael de Cabagra
5167,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,40,Santa Cecilia
5168,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,41,Singri
5169,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,42,Tablas
5170,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,43,Tamarindo
5171,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,44,Térraba
5172,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,45,Tres Colinas
5173,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,46,Tierras Negras
5174,6,Puntarenas,03,Buenos Aires,03,POTRERO GRANDE,47,Volcancito
